fileName,FPDT-TCP-L4M4,FPDT-TCP-L5M4,FPDT-TCP-L6M4,FPDT-TCP-L7M4,FPDT-TCP-L8M4
PTL_1_2,0.074074075,0.074074075,0.06995885,0.06584362,0.06584362
PTL_1_3,0.08743169,0.08743169,0.08743169,0.09289618,0.09289618
PTL_1_4,0.09836066,0.09836066,0.09836066,0.09289618,0.09289618
PTL_1_5,0.084745765,0.084745765,0.084745765,0.084745765,0.07909604
PTL_1_6,0.069767445,0.069767445,0.069767445,0.06395349,0.06395349
PTL_1_7,0.13372093,0.13953489,0.13372093,0.13372093,0.13372093
PTL_1_8,0.15116279,0.15116279,0.15116279,0.15116279,0.15116279
PTL_1_9,0.15697674,0.15697674,0.1627907,0.1627907,0.1627907
PTL_2_3,0.028169014,0.028169014,0.028169014,0.02347418,0.02347418
PTL_2_4,0.04694836,0.04694836,0.04694836,0.04694836,0.032863848
PTL_2_5,0.053140096500000004,0.053140096500000004,0.053140096500000004,0.0483091775,0.0483091775
PTL_2_6,0.014851485,0.014851485,0.00990099,0.00990099,0.00990099
PTL_2_7,0.1014851475,0.1014851475,0.1014851475,0.096534655,0.09405941
PTL_2_8,0.12871288,0.12871288,0.12871288,0.12376238,0.11881188
PTL_2_9,0.14851485,0.14851485,0.15346535,0.15099010000000002,0.13366337
PTL_3_4,0.02549575,0.02549575,0.02549575,0.02549575,0.02549575
PTL_3_5,0.011527377,0.011527377,0.011527377,0.011527377,0.008645534
PTL_3_6,0.00591716,0.00591716,0.00591716,0.00591716,0.00887574
PTL_3_7,0.01775148,0.01775148,0.01775148,0.01775148,0.00591716
PTL_3_8,0.14497042,0.14497042,0.14201184,0.14201184,0.15088758
PTL_3_9,0.14583333,0.14583333,0.14583333,0.14880952,0.15178572
PTL_4_5,0.010282776,0.010282776,0.010282776,0.010282776,0.010282776
PTL_4_6,0.005263158,0.005263158,0.005263158,0.005263158,0.010526316
PTL_4_7,0.005263158,0.005263158,0.005263158,0.005263158,0.010526316
PTL_4_8,0.13157895,0.13157895,0.13157895,0.13157895,0.12105263
PTL_4_9,0.103174604,0.103174604,0.08201058,0.09259259,0.10846561
PTL_5_6,0.009049774,0.009049774,0.004524887,0.004524887,0.004524887
PTL_5_7,0.056947608,0.056947608,0.041002277,0.03644647,0.020501139
PTL_5_8,0.09567198,0.09567198,0.097949885,0.09339408,0.08883827
PTL_5_9,0.075514875,0.075514875,0.059496567,0.045766592,0.027459955
PTL_6_7,0.03642987,0.03642987,0.03642987,0.030965392,0.014571949
PTL_6_8,0.07468124,0.07468124,0.07285974,0.07285974,0.06739526
PTL_6_9,0.06581353,0.06581353,0.06581353,0.053016454,0.047531992
PTL_7_8,0.04130809,0.04130809,0.04130809,0.04130809,0.04130809
PTL_7_9,0.050086357,0.050086357,0.046632126,0.044905007,0.046632126
PTL_8_9,0.01309329,0.01309329,0.014729951,0.019639935,0.018003274
