fileName,FPDT-TCP(CoCo),FPDT-TCP(CoCo+1)
TTL_1_2,0.19957593,0.19957593
TTL_1_3,0.22248872,0.22248872
TTL_1_4,0.2416275,0.2416275
TTL_1_5,0.20253223,0.20253223
TTL_1_6,0.051359627,0.051359627
TTL_1_7,0.37462312,0.37462312
TTL_1_8,0.5166174,0.5166174
TTL_1_9,0.51963854,0.51963854
TTL_2_3,0.051948186,0.051948186
TTL_2_4,0.18181871,0.18181871
TTL_2_5,0.118663873,0.118663873
TTL_2_6,0.0054644956,0.0054644956
TTL_2_7,0.232240885,0.232240885
TTL_2_8,0.5191269,0.5191269
TTL_2_9,0.53825265,0.53825265
TTL_3_4,0.060000144,0.060000144
TTL_3_5,0.0035211383,0.0035211383
TTL_3_6,0.0019685108499999998,0.0019685108499999998
TTL_3_7,0.005905525,0.005905525
TTL_3_8,0.41338733,0.41338733
TTL_3_9,0.41106862,0.41106862
TTL_4_5,0.0064412453,0.0064412453
TTL_4_6,0.003584242,0.003584242
TTL_4_7,0.0053763576,0.0053763576
TTL_4_8,0.3207897,0.3207897
TTL_4_9,0.12050412,0.12050412
TTL_5_6,0.011494253,0.011494253
TTL_5_7,0.045186765,0.045186765
TTL_5_8,0.17780016,0.17780016
TTL_5_9,0.048181076,0.048181076
TTL_6_7,0.103239946,0.103239946
TTL_6_8,0.21326186,0.21326186
TTL_6_9,0.10943349,0.10943349
TTL_7_8,0.07364316,0.07364316
TTL_7_9,0.0733007,0.0733007
TTL_8_9,0.001666668,0.001666668
